Features,Description
id,Person Identifier - unique for a member
auth_3mth_post_acute_dia,unique authorization/admit count for post acute admits related to diabetes in the past three months {Based on Major Clinical Condition}
rx_gpi2_72_pmpm_cost_6to9m_b4,cost per month of prescriptions related to ANTICONVULSANTS drugs in the past sixth to ninth month prior to the score date {Based on Generic Product Identifier-2 grouping}
atlas_pct_laccess_child15,"Children, low access to store"
atlas_recfacpth14,"Recreation & fitness facilities/1,000 pop"
atlas_pct_fmrkt_frveg16,Farmers’ markets that report selling fruit & vegetables
atlas_pct_free_lunch14,Students eligible for free lunch
bh_ip_snf_net_paid_pmpm_cost_9to12m_b4,net paid cost per month for behavioral health claims related to skilled nursing inpatient facilities in the past ninth to twelfth month prior to the score date
auth_3mth_acute_ckd,unique authorization/admit count for acute admits related to chronic kidney disease in the past three months {Based on Major Clinical Condition}
bh_ncal_pmpm_ct,count per month of behavioral health claims related to neuro cognition disorder: alzheimers in the past one year
src_div_id,The division ID assigned by the legacy system {each platform has a different system}
total_bh_copay_pmpm_cost_t_9-6-3m_b4,trend of copay cost per month for behavioral health claims in the past third to sixth month versus sixth to ninth month prior to the score date in the past third to sixth month versus sixth to ninth month prior to the score date
bh_ip_snf_net_paid_pmpm_cost_3to6m_b4,net paid cost per month for behavioral health claims related to skilled nursing inpatient facilities in the past third to sixth month prior to the score date
cons_chmi,Census Median Household Income
mcc_ano_pmpm_ct_t_9-6-3m_b4,trend of claims per month related to congenital anomalies in the past third to sixth month versus sixth to ninth month prior to the score date {based on Major Clinical Condition}
auth_3mth_post_acute_trm,"unique authorization/admit count for post acute admits related to head/neck/spine trauma, multiple fractures, and paralysis in the past three months {Based on Major Clinical Condition}"
rx_maint_pmpm_cost_t_12-9-6m_b4,trend of cost per month of prescriptions related to maintenance drugs in the past sixth to ninth month versus ninth to twelfth month prior to the score date
auth_3mth_post_acute_rsk,unique authorization/admit count for post acute admits related to risk behaviors in the past three months {Based on Major Clinical Condition}
cons_ltmedicr,Late to Medicare Index
rx_gpi4_6110_pmpm_ct,count per month of prescriptions related to ADHD/ANTI-NARCOLEPSY/ANTI-OBESITY/ANOREXIANTS : AMPHETAMINES drugs in the past one year {Based on GPI4 grouping}
atlas_pc_snapben15,SNAP benefits per capita
credit_bal_nonmtgcredit_60dpd,Balance Non-Mortgage Loan Accts 60+ Days Past Due
rx_bh_mbr_resp_pmpm_cost_9to12m_b4,member reponsible cost per month of prescriptions related to behavioral health drugs in the past ninth to twelfth month prior to the score date
rx_nonbh_pmpm_cost_t_9-6-3m_b4,trend of cost per month of prescriptions related to non behavioral health drugs in the past third to sixth month versus sixth to ninth month prior to the score date
atlas_pct_laccess_nhna15,"American Indian or Alaska Native, low access to store"
auth_3mth_acute_vco,unique authorization/admit count for acute admits related to v-codes in the past three months {Based on Major Clinical Condition}
credit_hh_nonmtgcredit_60dpd,% HH Non-Mortgage Loan Accts 60+ Days Past Due
rx_bh_pmpm_ct_0to3m_b4,count per month of prescriptions related to behavioral health drugs in the past three months prior to score date
auth_3mth_dc_ltac,unique authorization/admit count for discharge category related to ltac in the past three months
cons_lwcm10,The probability of the individual not exercising at all
auth_3mth_post_acute_inj,unique authorization/admit count for post acute admits related to injury and poisoning in the past three months {Based on Major Clinical Condition}
atlas_fsrpth14,"Full-service restaurants/1,000 pop"
auth_3mth_dc_home,unique authorization/admit count for discharge category related to home in the past three months
atlas_wicspth12,"WIC-authorized stores/1,000 pop"
rx_gpi2_17_pmpm_cost_t_12-9-6m_b4,trend of cost per month of prescriptions related to VACCINES drugs in the past sixth to ninth month versus ninth to twelfth month prior to the score date {Based on GPI2 grouping}
cons_hxmioc,"Predicts the likelihood of an individual to self-monitor an illness or health condition. They are likely to manage medication, look up health or nutritional information, post a question online or share personal health history, use an online application th"
